epoch,train_loss,train_mse_R,train_mse_G,train_mse_B,train_mse_avg,val_loss,val_mse_R,val_mse_G,val_mse_B,val_mse_avg,lr,epoch_time_s
1,0.745259,0.117652,0.108832,0.112846,0.113110,0.509547,0.077721,0.069718,0.073414,0.073617,1.00e-05,251.4
2,0.692346,0.103361,0.090875,0.095963,0.096733,0.556734,0.094208,0.086478,0.090022,0.090236,1.00e-05,270.4
3,0.670091,0.097223,0.083958,0.090942,0.090708,0.589895,0.104199,0.092766,0.101721,0.099562,1.00e-05,263.1
4,0.651162,0.089640,0.077370,0.082313,0.083108,0.576972,0.098356,0.088448,0.092073,0.092959,1.00e-05,225.2
5,0.634941,0.085706,0.074045,0.079048,0.079600,0.611326,0.103812,0.092828,0.096203,0.097615,1.00e-05,209.9
6,0.631905,0.084113,0.072638,0.077661,0.078137,0.504553,0.077332,0.068769,0.075227,0.073776,1.00e-05,210.1
7,0.624980,0.080875,0.068221,0.073940,0.074345,0.531559,0.079996,0.072251,0.076147,0.076131,5.00e-06,214.9
8,0.619398,0.077812,0.065846,0.071008,0.071555,0.491907,0.067253,0.059675,0.065234,0.064054,5.00e-06,208.8
9,0.619904,0.078026,0.066385,0.071009,0.071807,0.578366,0.093665,0.083712,0.088323,0.088567,5.00e-06,214.6
10,0.616683,0.079593,0.067979,0.071553,0.073042,0.560854,0.088184,0.078744,0.084886,0.083938,5.00e-06,209.9
11,0.618693,0.078581,0.067165,0.071749,0.072498,0.463339,0.058189,0.055197,0.062038,0.058475,5.00e-06,235.2
12,0.606643,0.075840,0.064185,0.069491,0.069839,0.502387,0.071152,0.063484,0.067093,0.067243,5.00e-06,269.1
13,0.615345,0.076413,0.065033,0.069607,0.070351,0.630877,0.113744,0.103165,0.107887,0.108266,5.00e-06,228.2
14,0.604661,0.074074,0.062257,0.066707,0.067679,0.554482,0.086542,0.080744,0.087861,0.085049,5.00e-06,208.1
15,0.604331,0.073339,0.062972,0.067328,0.067880,0.468049,0.067234,0.060913,0.068529,0.065559,5.00e-06,209.6
16,0.613386,0.075582,0.064056,0.068538,0.069392,0.444661,0.057521,0.052765,0.058825,0.056371,5.00e-06,218.1
17,0.600343,0.074685,0.063992,0.068514,0.069064,0.485834,0.063670,0.055487,0.060738,0.059965,5.00e-06,257.7
18,0.609219,0.073380,0.063830,0.069001,0.068737,0.455253,0.050646,0.046377,0.055508,0.050844,5.00e-06,251.2
19,0.598102,0.073936,0.062883,0.067840,0.068220,0.489271,0.071503,0.063504,0.067862,0.067623,5.00e-06,277.3
20,0.600005,0.070858,0.060348,0.065660,0.065622,0.496019,0.072469,0.065272,0.071641,0.069794,5.00e-06,299.4
